1,J. de Lange 23/24,Go Ahead Eagles,26,0.178,0.426,0.152,0.815,0.63,0.777,0.668,3426
2,N. Olij 23/24,Sparta Rotterdam,28,0.509,0.426,0.821,0.917,0.847,0.496,0.566,3419
3,E. Room 23/24,Vitesse,35,0.114,0.05,0.012,0.681,0.324,0.898,0.369,3348
4,M. Brouwer 23/24,Heracles,31,0.726,0.496,0.904,0.624,0.108,0.859,0.598,3345
5,S. van Gassel 23/24,Excelsior,27,0.681,0.796,0.878,0.949,0.235,0.273,0.254,3319
6,W. Benítez 23/24,PSV,31,0.108,0.165,0.184,0.522,0.974,0.84,0.636,3191
7,L. Unnerstall 23/24,Twente,33,0.401,0.292,0.382,0.554,0.331,0.745,0.713,3162
8,M. Backhaus 23/24,Volendam,20,0.961,0.318,0.878,0.719,0.089,0.006,0.184,3154
9,J. Schendelaar 23/24,PEC Zwolle,23,0.859,0.929,0.713,0.783,0.541,0.477,0.203,3118
10,J. Cillessen 23/24,NEC,35,0.127,0.515,0.668,0.388,0.49,0.356,0.643,2973
11,V. Barkas 23/24,Utrecht,29,0.337,0.382,0.426,0.343,0.254,0.566,0.184,2959
12,E. Vaessen 23/24,RKC Waalwijk,28,0.936,0.834,0.904,0.885,0.267,0.343,0.955,2922
13,N. Bakker 23/24,Almere City,26,0.91,0.318,0.821,0.496,0.286,0.7,0.617,2883
14,M. Ryan 23/24,AZ,32,0.592,0.496,0.738,0.834,0.968,0.923,0.796,2810
15,A. Noppert 23/24,Heerenveen,30,0.49,0.56,0.522,0.363,0.643,0.229,0.095,2136
16,D. Ramaj 23/24,Ajax,22,0.955,0.878,0.547,0.987,0.07,0.191,0.382,2023
17,T. Wellenreuther 23/24,Feyenoord,28,0.974,0.044,0.484,0.936,0.121,0.522,0.866,1757
18,J. Bijlow 23/24,Feyenoord,26,0.898,0.694,0.675,0.974,0.815,0.732,0.452,1590
19,I. Pandur 23/24,Fortuna Sittard,24,0.248,0.738,0.929,0.394,0.757,0.847,0.318,1574
20,M. Verrips 23/24,Fortuna Sittard,27,0.133,0.968,0.675,0.146,0.624,0.961,0.076,1257
21,M. van der Hart 23/24,Heerenveen,29,0.165,0.401,0.031,0.56,0.789,0.764,0.025,1170
22,Matheus 23/24,Sporting Braga,32,0.859,0.592,0.496,0.541,0.509,0.585,0.108,3419
23,João Gonçalves 23/24,Boavista,23,0.458,0.617,0.528,0.012,0.101,0.095,0.171,3412
24,Luiz Júnior 23/24,Famalicão,23,0.847,0.815,0.891,0.324,0.91,0.929,0.847,3322
25,Diogo Costa 23/24,Porto,24,0.356,0.229,0.541,0.687,0.445,0.662,0.42,3305
26,Andrew 23/24,Gil Vicente,22,0.522,0.592,0.369,0.229,0.343,0.503,0.592,3209
27,Ricardo Velho 23/24,Farense,25,0.433,0.98,0.968,0.063,0.184,0.522,0.923,3203
28,I. de Arruabarrena 23/24,Arouca,27,0.993,0.738,0.789,0.49,0.171,0.171,0.242,3116
29,Ricardo Batista 23/24,Casa Pia AC,37,0.522,0.191,0.42,0.235,0.675,0.235,0.248,3045
30,Kewin 23/24,Moreirense,29,0.643,0.853,0.942,0.452,0.394,0.611,0.21,2951
31,F. Buntić 23/24,Vizela,27,0.414,0.082,0.261,0.191,0.656,0.254,0.07,2804
32,A. Trubin 23/24,Benfica,22,0.082,0.426,0.171,0.063,0.191,0.535,0.961,2771
33,Bruno Varela 23/24,Vitória Guimarães,29,0.63,0.904,0.503,0.133,0.859,0.146,0.675,2664
